"id","pop","loc","city","X_id","state"
"161",11598,"[ -71.990617 , 42.244103]","SPENCER",1562,"MA"
"162",6481,"[ -71.775192 , 42.435351]","STERLING",1564,"MA"
"163",7001,"[ -72.084233 , 42.112619]","STURBRIDGE",1566,"MA"
"164",4682,"[ -71.608014 , 42.173275]","WEST UPTON",1568,"MA"
"165",10364,"[ -71.632869 , 42.074426]","UXBRIDGE",1569,"MA"
"166",3735,"[ -71.839467 , 42.047574]","DUDLEY HILL",1570,"MA"
"167",22001,"[ -71.893228 , 42.048894]","DUDLEY",1571,"MA"
"168",14132,"[ -71.617604 , 42.267891]","WESTBOROUGH",1581,"MA"
"169",6611,"[ -71.783822 , 42.35836]","WEST BOYLSTON",1583,"MA"
"170",3528,"[ -72.151137 , 42.244137]","WEST BROOKFIELD",1585,"MA"
"171",8807,"[ -71.664357 , 42.115319]","WHITINSVILLE",1588,"MA"
"172",6719,"[ -71.748416 , 42.140586]","WILKINSONVILLE",1590,"MA"
"173",19988,"[ -71.841678 , 42.270251]","WORCESTER",1602,"MA"
"174",18605,"[ -71.837995 , 42.245033]","WORCESTER",1603,"MA"
"175",29036,"[ -71.774626 , 42.254084]","WORCESTER",1604,"MA"
"176",25695,"[ -71.788795 , 42.289391]","WORCESTER",1605,"MA"
"177",18213,"[ -71.795774 , 42.311029]","WORCESTER",1606,"MA"
"178",9048,"[ -71.793837 , 42.230294]","WORCESTER",1607,"MA"
"179",3646,"[ -71.800262 , 42.262425]","WORCESTER",1608,"MA"
"180",21905,"[ -71.817456 , 42.275387]","WORCESTER",1609,"MA"
"181",23720,"[ -71.810798 , 42.249186]","WORCESTER",1610,"MA"
"182",2510,"[ -71.874971 , 42.237287]","CHERRY VALLEY",1611,"MA"
"183",4047,"[ -71.920234 , 42.306646]","PAXTON",1612,"MA"
"184",65046,"[ -71.425486 , 42.300665]","FRAMINGHAM",1701,"MA"
"185",2330,"[ -71.422354 , 42.514941]","VILLAGE OF NAGOG",1718,"MA"
"186",3343,"[ -71.518229 , 42.486876]","BOXBORO",1719,"MA"
"187",15514,"[ -71.448255 , 42.475076]","ACTON",1720,"MA"
"188",12066,"[ -71.458347 , 42.253909]","ASHLAND",1721,"MA"
"189",16147,"[ -71.276796 , 42.484287]","BEDFORD",1730,"MA"
"190",3134,"[ -71.607593 , 42.436523]","BOLTON",1740,"MA"
"191",4333,"[ -71.351892 , 42.528562]","CARLISLE",1741,"MA"
"192",17076,"[ -71.374741 , 42.456701]","CONCORD",1742,"MA"
"193",506,"[ -71.502256 , 42.293221]","SOUTHBOROUGH",1745,"MA"
"194",12917,"[ -71.436059 , 42.202641]","HOLLISTON",1746,"MA"
"195",5649,"[ -71.537601 , 42.126796]","HOPEDALE",1747,"MA"
"196",9191,"[ -71.530178 , 42.219046]","HOPKINTON",1748,"MA"
"197",17233,"[ -71.560896 , 42.391796]","HUDSON",1749,"MA"
"198",31813,"[ -71.543355 , 42.350861]","MARLBOROUGH",1752,"MA"
"199",10325,"[ -71.454975 , 42.432118]","MAYNARD",1754,"MA"
"200",4010,"[ -71.549882 , 42.096744]","MENDON",1756,"MA"
"201",25372,"[ -71.527402 , 42.151142]","MILFORD",1757,"MA"
"202",30432,"[ -71.35741 , 42.287476]","NATICK",1760,"MA"
"203",3998,"[ -71.378717 , 42.233088]","SHERBORN",1770,"MA"
"204",6122,"[ -71.531997 , 42.293919]","SOUTHBOROUGH",1772,"MA"
"205",4515,"[ -71.313723 , 42.421723]","LINCOLN",1773,"MA"
"206",5328,"[ -71.515019 , 42.430785]","STOW",1775,"MA"
"207",14358,"[ -71.428159 , 42.383655]","SUDBURY",1776,"MA"
"208",11874,"[ -71.358781 , 42.348629]","WAYLAND",1778,"MA"
"209",36152,"[ -71.157404 , 42.482894]","WOBURN",1801,"MA"
"210",23093,"[ -71.200437 , 42.508942]","BURLINGTON",1803,"MA"
"211",29161,"[ -71.156481 , 42.64956]","ANDOVER",1810,"MA"
"212",28899,"[ -71.251754 , 42.551874]","BILLERICA",1821,"MA"
"213",24457,"[ -71.357521 , 42.59356]","SOUTH CHELMSFORD",1824,"MA"
"214",25594,"[ -71.318592 , 42.676422]","DRACUT",1826,"MA"
"215",2166,"[ -71.495201 , 42.673917]","DUNSTABLE",1827,"MA"
"216",22445,"[ -71.072057 , 42.785605]","HAVERHILL",1830,"MA"
"217",16860,"[ -71.109519 , 42.779154]","HAVERHILL",1832,"MA"
"218",6384,"[ -70.982239 , 42.728067]","GEORGETOWN",1833,"MA"
"219",5214,"[ -71.027018 , 42.753027]","GROVELAND",1834,"MA"
"220",12078,"[ -71.08549 , 42.758597]","BRADFORD",1835,"MA"
"221",2728,"[ -71.16381 , 42.707958]","LAWRENCE",1840,"MA"
"222",45555,"[ -71.166997 , 42.711545]","LAWRENCE",1841,"MA"
"223",22285,"[ -71.160506 , 42.691053]","LAWRENCE",1843,"MA"
"224",39664,"[ -71.181031 , 42.728019]","METHUEN",1844,"MA"
"225",22792,"[ -71.109004 , 42.682583]","NORTH ANDOVER",1845,"MA"
"226",15434,"[ -71.305078 , 42.656035]","LOWELL",1850,"MA"
"227",28154,"[ -71.332882 , 42.631548]","LOWELL",1851,"MA"
"228",33379,"[ -71.298331 , 42.634413]","LOWELL",1852,"MA"
"229",26472,"[ -71.335464 , 42.649254]","LOWELL",1854,"MA"
"230",5196,"[ -71.004658 , 42.834629]","MERRIMAC",1860,"MA"
"231",8720,"[ -71.290217 , 42.575694]","NORTH BILLERICA",1862,"MA"
"232",7878,"[ -71.390834 , 42.634737]","NORTH CHELMSFORD",1863,"MA"
"233",12002,"[ -71.094711 , 42.581898]","NORTH READING",1864,"MA"
"234",22539,"[ -71.109021 , 42.527986]","READING",1867,"MA"
"235",27269,"[ -71.223224 , 42.60283]","TEWKSBURY",1876,"MA"
"236",8643,"[ -71.415766 , 42.672383]","TYNGSBORO",1879,"MA"
"237",24830,"[ -71.068471 , 42.500886]","WAKEFIELD",1880,"MA"
"238",16430,"[ -71.438143 , 42.589959]","GRANITEVILLE",1886,"MA"
"239",17647,"[ -71.172306 , 42.558143]","WILMINGTON",1887,"MA"
"240",20232,"[ -71.14407 , 42.453028]","WINCHESTER",1890,"MA"
"241",1187,"[ -70.945516 , 42.463378]","LYNN",1901,"MA"
"242",41625,"[ -70.941989 , 42.469814]","LYNN",1902,"MA"
"243",17073,"[ -70.962798 , 42.487453]","EAST LYNN",1904,"MA"
"244",21360,"[ -70.973825 , 42.46453]","WEST LYNN",1905,"MA"
"245",25487,"[ -71.011093 , 42.463344]","SAUGUS",1906,"MA"
"246",13650,"[ -70.909774 , 42.474611]","SWAMPSCOTT",1907,"MA"
"247",3828,"[ -70.927739 , 42.426098]","NAHANT",1908,"MA"
"248",14970,"[ -70.936681 , 42.855879]","AMESBURY",1913,"MA"
"249",38259,"[ -70.875939 , 42.560825]","BEVERLY",1915,"MA"
"250",6249,"[ -71.011372 , 42.679719]","BOXFORD",1921,"MA"
"251",2006,"[ -70.935053 , 42.756792]","BYFIELD",1922,"MA"
"252",23977,"[ -70.942461 , 42.569402]","DANVERS",1923,"MA"
"253",3260,"[ -70.782794 , 42.628629]","ESSEX",1929,"MA"
"254",28716,"[ -70.672149 , 42.620836]","GLOUCESTER",1930,"MA"
"255",11864,"[ -70.849353 , 42.680877]","IPSWICH",1938,"MA"
"256",11274,"[ -71.033873 , 42.532711]","LYNNFIELD",1940,"MA"
"257",5286,"[ -70.767434 , 42.57963]","MANCHESTER",1944,"MA"
"258",19971,"[ -70.865291 , 42.498431]","MARBLEHEAD",1945,"MA"
"259",4921,"[ -71.013004 , 42.594184]","MIDDLETON",1949,"MA"
"260",16317,"[ -70.884668 , 42.812964]","NEWBURYPORT",1950,"MA"
"261",3710,"[ -70.847377 , 42.783475]","NEWBURY",1951,"MA"
"262",6879,"[ -70.858822 , 42.850678]","SALISBURY",1952,"MA"
"263",47685,"[ -70.961194 , 42.532579]","PEABODY",1960,"MA"
"264",7482,"[ -70.619424 , 42.657973]","ROCKPORT",1966,"MA"
"265",4368,"[ -70.90696 , 42.713753]","ROWLEY",1969,"MA"
"266",37642,"[ -70.900343 , 42.515114]","SALEM",1970,"MA"
"267",7288,"[ -70.856132 , 42.618478]","SOUTH HAMILTON",1982,"MA"
"268",5763,"[ -70.948843 , 42.641546]","TOPSFIELD",1983,"MA"
"269",4148,"[ -70.878622 , 42.60166]","WENHAM",1984,"MA"
"270",3421,"[ -70.977811 , 42.794865]","WEST NEWBURY",1985,"MA"
"271",14873,"[ -71.476829 , 42.074573]","BELLINGHAM",2019,"MA"
"272",18530,"[ -71.135536 , 42.164454]","CANTON",2021,"MA"
"273",7075,"[ -70.812788 , 42.239484]","COHASSET",2025,"MA"
"274",23782,"[ -71.163741 , 42.243685]","DEDHAM",2026,"MA"
"275",4915,"[ -71.285363 , 42.236233]","DOVER",2030,"MA"
"276",3844,"[ -71.2179 , 42.15324]","EAST WALPOLE",2032,"MA"
"277",14293,"[ -71.244127 , 42.064938]","FOXBORO",2035,"MA"
"278",22128,"[ -71.405786 , 42.09347]","FRANKLIN",2038,"MA"
"279",19821,"[ -70.891051 , 42.224485]","HINGHAM",2043,"MA"
"280",10466,"[ -70.875442 , 42.285346]","HULL",2045,"MA"
"281",16676,"[ -71.217775 , 42.021238]","MANSFIELD",2048,"MA"
"282",21782,"[ -70.69931 , 42.106177]","MARSHFIELD",2050,"MA"
